[0.00s - 2.00s]  5 jumps.
[2.00s - 30.00s]  Standing.
[30.00s - 41.00s]  Looking around.
[42.00s - 48.00s]  Pointing.
[48.00s - 75.00s]  Walking towards the shelf.
[75.00s - 86.00s]  Picking up the cocktail glass from the shelf.
[86.00s - 89.00s]  Walking.
[89.00s - 96.00s]  Placing the glass on the high table.
[96.00s - 102.00s]  Opening the water bottle.
[102.00s - 130.00s]  Pouring the water into the mixing glass.
[130.00s - 138.00s]  Pouring the glass into each other.
[138.00s - 151.00s]  Mixing the cocktail.
[151.00s - 159.00s]  Wiping hands with the tissue.
[159.00s - 180.00s]  Pouring the cocktail mix into another glass.
[180.00s - 209.00s]  Drinking the cocktail.
[209.00s - 214.00s]  Placing the glass back onto the table.
[214.00s - 216.00s]  Walking towards the shelf.
[216.00s - 221.00s]  Picking up the puzzle.
[221.00s - 223.00s]  Pulling the chair out.
[223.00s - 225.00s]  Sitting in the chair.
[225.00s - 254.00s]  Attempting to solve the 3D puzzle.
[255.00s - 265.00s]  Drinking the cocktail.
[265.00s - 294.00s]  Drinking the cocktail.
[294.00s - 323.00s]  Drinking the cocktail.
[323.00s - 349.00s]  Drinking the cocktail.
[349.00s - 378.00s]  Drinking the cocktail.
[378.00s - 407.00s]  Drinking the cocktail.
[407.00s - 436.00s]  Drinking the cocktail.
[436.00s - 465.00s]  Drinking the cocktail.
[465.00s - 494.00s]  Drinking the cocktail.
[494.00s - 523.00s]  Drinking the cocktail.
[523.00s - 552.00s]  Drinking the cocktail.
[552.00s - 581.00s]  Drinking the cocktail.
[581.00s - 610.00s]  Drinking the cocktail.
[610.00s - 639.00s]  Drinking the cocktail.
[639.00s - 668.00s]  Drinking the cocktail.
[668.00s - 697.00s]  Drinking the cocktail.
[698.00s - 727.00s]  Drinking the cocktail.
[728.00s - 737.00s]  Drinking the cocktail.
[737.00s - 739.00s]  Standing up.
[739.00s - 741.00s]  Walking.
[741.00s - 747.00s]  Placing the cube back into the shelf.
[747.00s - 758.00s]  Walking.
[758.00s - 772.00s]  Adding weights to the bubble.
[772.00s - 798.00s]  Tightening the weights.
[798.00s - 823.00s]  Weightlifting.
[823.00s - 833.00s]  Placing the weights back onto the floor.
[833.00s - 836.00s]  Checking the phone.
[836.00s - 838.00s]  Sitting on the bed.
[838.00s - 841.00s]  Laying down.
[841.00s - 844.00s]  Keeping one arm under the head.
[844.00s - 847.00s]  Bringing it back onto the phone.
[847.00s - 852.00s]  Texting on the phone while laying on the bed.
[877.00s - 904.00s]  Getting up from the bed.
[904.00s - 913.00s]  Walking.
[913.00s - 933.00s]  Doing boxing practice.
[933.00s - 938.00s]  Walking.
[938.00s - 948.00s]  Walking.
[948.00s - 973.00s]  Walking.
[973.00s - 1002.00s]  Walking.
[1002.00s - 1011.00s]  Walking.
[1011.00s - 1013.00s]  Keeping hands on the waist.
[1013.00s - 1016.00s]  Back to normal position.
[1016.00s - 1025.00s]  Doing pushups.
[1025.00s - 1033.00s]  Standing up.
[1033.00s - 1041.00s]  Walking around.
[1041.00s - 1059.00s]  Drinking the cocktail.
[1059.00s - 1081.00s]  Placing on the corner of the bed and using the phone.
[1081.00s - 1093.00s]  Doing crunches.
[1093.00s - 1099.00s]  Standing up.
[1099.00s - 1109.00s]  Doing boxing practice.
[1129.00s - 1155.00s]  Doing jumping jacks.
[1155.00s - 1157.00s]  Walking towards the table.
[1157.00s - 1166.00s]  Touching the laptop in a standing position.
[1166.00s - 1169.00s]  Sitting on the chair.
[1169.00s - 1177.00s]  Relaxing.
[1177.00s - 1181.00s]  Rocking the chair back and forth.
[1181.00s - 1184.00s]  Standing up.
[1184.00s - 1186.00s]  Walking.
[1186.00s - 1189.00s]  Picking up the phone from the bed.
[1189.00s - 1193.00s]  Walking while phone in hands.
[1193.00s - 1200.00s]  Placing the phone on the table.
[1200.00s - 1202.00s]  Walking around with hands on waist.
[1202.00s - 1213.00s]  Drinking the cocktail from the high table.
