[0.00s - 2.00s]  Five jumps.
[30.00s - 58.00s]  Walking.
[58.00s - 68.00s]  Bends to pick up the chess pieces from the table.
[68.00s - 78.00s]  Arranges the chess pieces back in the chess box.
[78.00s - 83.00s]  Closes the chess box.
[83.00s - 86.00s]  Picks up the chess box.
[86.00s - 90.00s]  Places the chess box into the stand.
[90.00s - 99.00s]  Reaches for a puzzle.
[99.00s - 102.00s]  Picks up the phone from the small sofa.
[102.00s - 107.00s]  Paces around the room.
[107.00s - 113.00s]  Bends to take something from a bag.
[113.00s - 117.00s]  Walks towards the bed.
[117.00s - 125.00s]  Sits down on the bed.
[125.00s - 131.00s]  wears earphones
[131.00s - 160.00s]  Is typing on the phone.
[220.00s - 238.00s]  Places the phone beside her and picks up the puzzle.
[238.00s - 267.00s]  Attempting to solve the puzzle.
[597.00s - 650.00s]  Puts the cube down and picks up the phone with the right hand.
[650.00s - 677.00s]  Puts down the phone and stands up.
[677.00s - 689.00s]  Walking towards the shelf.
[689.00s - 691.00s]  Walks towards the main table.
[691.00s - 694.00s]  Pulls a chair.
[694.00s - 701.00s]  Sits down.
[701.00s - 716.00s]  Types on the laptop.
[716.00s - 726.00s]  Using the right hand to scroll.
[726.00s - 755.00s]  Coughing.
[755.00s - 765.00s]  Typing with both hands.
[765.00s - 793.00s]  Back to scrolling on the cursor pad.
[793.00s - 821.00s]  Typing with both hands.
[821.00s - 839.00s]  Yawning.
[839.00s - 1510.00s]  Typing with both hands again.
[1510.00s - 1524.00s]  Walking.
[1524.00s - 1532.00s]  Bending to pick up the watering can.
[1532.00s - 1538.00s]  Watering the plant.
[1538.00s - 1552.00s]  Walking back to the shelf, bends to place the water can.
[1552.00s - 1559.00s]  Picks up the fruit and chopping board.
[1559.00s - 1562.00s]  Walks to the sofa table.
[1562.00s - 1566.00s]  Sits down on the sofa chair.
[1566.00s - 1594.00s]  Cutting vegetables.
[1594.00s - 1602.00s]  Eating the cut vegetables.
[1602.00s - 1630.00s]  While walking.
[1630.00s - 1658.00s]  Reaches the top shelf.
[1658.00s - 1681.00s]  Walks to the sofa table.
[1681.00s - 1696.00s]  Again chops the vegetable.
[1696.00s - 1710.00s]  Eats the vegetable.
[1710.00s - 1717.00s]  Stands up.
[1717.00s - 1722.00s]  Picks up the puzzle from the bed.
[1722.00s - 1751.00s]  Walks to the shelf. Places it back on the upper shelf.
[1751.00s - 1771.00s]  Takes the cocktail mixer from the top shelf.
